name,barcode,asset_number,serial_number,checkout_status,DSA_Notes,damage_notes
"Manfrotto BeFree Advanced, Travel Tripod",39007054933353,3,F3064274,Available,,
"Manfrotto BeFree Advanced, Travel Tripod",39007054933361,5,F3065881,Available,,
"Manfrotto BeFree Advanced, Travel Tripod",39007054933387,6,F3061343,Available,,
"Manfrotto BeFree Advanced, Travel Tripod",39007054933395,7,F3065254,Available,,
"Manfrotto BeFree Advanced, Travel Tripod",39007054933403,8,F3065262,CHECKED OUT,,"Mounting place is loose, Tim to get a replacement.S.D. 2025.11.18"
"Manfrotto BeFree Advanced, Travel Tripod",39007054933411,9,F3064259,Available,,
"Manfrotto BeFree Advanced, Travel Tripod",39007054933429,10,F3065252,CHECKED OUT,,"Pan function no longer working, lower nob doesn't release (S.D.) 08/28/25"
"Manfrotto BeFree Advanced, Travel Tripod",39007054933486,11,A7127825,Available,,
Audio-Technica AT2005USB,39007054933445,2,,Available,,
Audio-Technica AT2005USB,39007054933452,3,,Available,,
Audio-Technica AT2005USB,39007054933460,4,,Available,,
Power DeWise Lavalier Microphone,39007054933775,2,N/A,Available,,
Power DeWise Lavalier Microphone,39007054933783,3,N/A,Available,,
Power DeWise Lavalier Microphone,39007054933791,4,N/A,CHECKED OUT,,
Power DeWise Lavalier Microphone,39007054933809,5,N/A,Available,,
SmallRig Mini Tripod,39007054933734,1,N/A,Available,,
SmallRig Mini Tripod,39007054933742,4,N/A,Available,,
SmallRig Mini Tripod,39007054933726,3,N/A,Available,,
SmallRig Mini Tripod,39007054933700,2,N/A,CHECKED OUT,,
Ulanzi Phone Mount,39007054933619,1,N/A,Available,,
Ulanzi Phone Mount,39007054933627,2,,Available,,
Ulanzi Phone Mount,39007054933635,3,,Available,,
Ulanzi Phone Mount,39007054933643,4,N/A,Available,,
Ulanzi Phone Mount,39007054933650,5,N/A,Available,,
Ulanzi Phone Mount,39007054933668,6,N/A,Available,,
Ulanzi Phone Mount,39007054933676,7,N/A,Available,,
Ulanzi Phone Mount,39007054933684,8,N/A,Available,,
Ulanzi Phone Mount,39007054933692,9,N/A,Available,,
Ulanzi Phone Mount,39007054933825,10,N/A,Available,,
Meta Quest 3,39007054933841,1,2G0YC1ZF8N00QB,CHECKED OUT,,There is a hairline crack on the bottom of the right eye lens (S.D.)
Meta Quest 3,39007054933833,2,2G0YC1ZF9Q0QNH,Available,,
Meta Quest 3,39007054933858,3,2G0YC1ZF9M07PG,CHECKED OUT,,
Meta Quest 3,39007054933866,4,2G0YC1ZF9N04J2,Available,,
Meta Quest 3,39007054933874,5,2G0YC1ZF9L0BB8,CHECKED OUT,,
Meta Quest 3,39007054933882,6,2G0YC1ZF8N05LL,CHECKED OUT,,
Meta Quest 3,39007054933890,7,2G0YC1ZF8M0KD5,Available,,
Meta Quest 3,39007054933908,8,2G0YC1ZF8N01D6,Available,,
Meta Quest 3,39007054933916,9,,CHECKED OUT,,2025.01.14 Superficial crack found on the top of the headset (SD)
Neewer Lighting Kit Without Softboxes,39007054933759,2,N/A,CHECKED OUT,,
Canon EOS R50,39007054931464,1,162070011044,CHECKED OUT,,Lens sticks sometimes when taking it off the body. (S.D.) 2025.10.27
Canon EOS R50,39007054931357,2,162070011047,CHECKED OUT,,
Canon EOS R50,39007054931472,4,162070011045,CHECKED OUT,,
Canon EOS R50,39007054931456,5,162070011043,Available,,
Canon EOS R50,39007054933965,6,162070032842,CHECKED OUT,,
Canon RF-S 55-210mm,39007054931662,1,3712001739,CHECKED OUT,,
Canon RF-S 55-210mm,39007054931647,3,3712001798,CHECKED OUT,,
Canon RF-S 10-18mm,39007054931563,1,3701002378,Available,,
Canon RF-S 10-18mm,39007054931670,2,3701002310,CHECKED OUT,,
Canon RF-S 10-18mm,39007054931548,3,3701002249,Available,,
Canon RF 50mm,39007054931555,1,2611015748,CHECKED OUT,,
Canon RF 50mm,39007054931688,2,2611014060,CHECKED OUT,,
Canon RF 50mm,39007054931530,3,2611015729,CHECKED OUT,,
Canon RF 50mm,39007054931522,4,2611013997,CHECKED OUT,,
Rode Wireless Pro,39007054933924,1,JK0110362,CHECKED OUT,,
Rode Wireless Pro,39007054933940,3,JK0110426,Available,,"Oct 9, 2024 Plastic baggy missing"
Rode Wireless Pro,39007054933957,4,JK0110361,Available,,Missing 1 Mag Clip - S.D.
Sony MDR-7506,39007054931373,6,,Available,,
Sony MDR-7506,39007054931399,7,,Available,,
Sony MDR-7506,39007054931381,8,,Available,,
Audio-Technica AT2005USB,39007054931449,5,,Available,,
Audio-Technica AT2005USB,39007054931423,7,,Available,,
Audio-Technica AT2005USB,39007054930748,8,,Available,,
Audio-Technica AT2005USB,39007054931415,9,,Available,,
Audio-Technica AT2005USB,39007054931431,10,,Available,,
Novation Launchkey Mini MK3,  39007054931498,1,A45B3M934314AE,Available,,
Novation Launchkey Mini MK3, 39007054931480,2,A4PAJA834314E9,Available,,
Zoom H6essential,39007054932116,1,D01004438,Available,,
Rode Wireless ME Dual Ultra-compact Wireless Microphone,39007054932132,1,KC0008600,Available,,
Rode Wireless ME Dual Ultra-compact Wireless Microphone,39007054932140,2,KC0009727,Available,,
Rode Wireless ME Dual Ultra-compact Wireless Microphone,39007054932157,3,KC0009706,CHECKED OUT,,
Mobile Phone Selfie Stick,39007054932173,1,,Available,,
Mobile Phone Selfie Stick,39007054932231,2,,Available,,
Mobile Phone Selfie Stick,39007054932223,3,,Available,,
Mobile Phone Selfie Stick,39007054932215,4,,Available,,
Mobile Phone Selfie Stick,39007054932207,5,,Available,,
Mobile Phone Selfie Stick,39007054932199,6,,Available,,
Mobile Phone Selfie Stick,39007054932181,7,,Available,,
Canon EOS R50,39007054932249,3,242030001037,Available,,
Canon EOS R50,39007054932256,7,242030001038,CHECKED OUT,,
Canon EOS R50,39007054932264,8,242030001075,Available,,
Boom Pole with Mic Mount,39007054932272,1,X002XKUKNX,Available,,
Neewer Ring Light,39007054932280,1,,Available,,
Neewer Ring Light,39007054932298,2,,Available,,
Canon RF-S 35mm,39007054932397,1,4972002135,Available,,"Small scratch on lens, doesn't effect picture quality. (S.D.) 2026.01.05"
Canon RF-S 35mm,39007054932389,2,4972002138,Available,,
Canon RF-S 35mm,39007054932405,3,4972002136,CHECKED OUT,,
Canon RF-S 55-210mm,39007054932314,2,4842011934,Available,,
Canon RF-S 55-210mm,39007054932306,4,4842011932,Available,,
Canon RF-S 55-210mm,39007054932322,5,4842011931,CHECKED OUT,,
"Ulanzi Mini LED Light, VL49 RBG",39007054932330,1,,Available,,
"Ulanzi Mini LED Light, VL49 RBG",39007054932371,2,,Available,,
"Ulanzi Mini LED Light, VL49 RBG",39007054932353,3,,Available,,
"Ulanzi Mini LED Light, VL49 RBG",39007054932355,4,,Available,,
Zoom Podtrak P4,39007054932348,1,C54108377,Available,,
Zoom Podtrak P4,39007054936042,2,C54109137,Available,,
